id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1489424,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 private bath,5294164,Efrat,,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,217,7/1/2023,1.82,1,213,47,
2992450,Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,11,8/17/2022,0.1,1,214,1,
3820211,Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,125,2,293,5/29/2023,2.71,11,330,6,
5651579,Rental unit in Albany · ★4.50 · Studio · 1 bed · 1 bath,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,68,3,319,6/18/2023,3.21,3,153,19,
6623339,Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,140,1,306,4/2/2023,3.11,11,244,12,
7062955,Rental unit in Albany · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,37035085,George,,SIXTH WARD,42.65901,-73.76647,Entire home/apt,68,30,7,6/16/2023,0.09,4,337,2,
7563949,Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.64484,-73.75851,Private room,190,1,42,2/19/2023,0.49,7,363,2,
8035768,Home in Albany · ★4.75 · 3 bedrooms · 3 beds · 3.5 baths,42430824,John M,,TENTH WARD,42.66088,-73.78147,Entire home/apt,581,3,54,2/20/2023,0.57,2,365,2,
8035784,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,7/25/2020,0.19,2,179,0,
8539096,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,19648678,Terra,,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,66,8/16/2022,0.71,11,364,1,
8915877,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,46312980,Robert,,SECOND WARD,42.64603,-73.75986,Entire home/apt,88,3,224,10/17/2022,2.39,1,325,2,
9005989,Rental unit in Albany · ★4.79 · 1 bedroom · 2 beds · 1 bath,17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,90,1,556,6/18/2023,6.61,1,334,48,
9501054,Rental unit in Albany · ★4.52 · 1 bedroom · 2 beds · 1 private bath,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,65,2,346,6/14/2023,3.83,3,159,43,
10768745,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,555,6/19/2023,6.15,2,322,64,
11253948,Home in Albany · ★4.94 · 3 bedrooms · 6 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,279,1,125,7/2/2023,1.45,9,333,16,
11639446,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,ELEVENTH WARD,42.67583,-73.78297,Private room,47,1,221,6/17/2023,2.56,3,358,13,
12284708,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65912,-73.78349,Private room,45,10,61,10/26/2019,0.7,4,244,0,
12799126,Rental unit in Albany · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,50,5,25,4/25/2023,0.72,2,309,6,
13083497,Home in Albany · ★4.67 · 4 bedrooms · 4 beds · 2 baths,1364123,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,167,6/5/2023,1.96,1,311,10,
13711253,Home in Albany · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,TWELFTH WARD,42.68769,-73.79664,Private room,60,2,224,12/6/2022,2.64,3,244,5,
14316232,Home in Albany · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65726,-73.78219,Private room,45,10,47,5/19/2023,0.56,4,175,3,
14489265,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,37035085,George,,SIXTH WARD,42.65863,-73.76657,Entire home/apt,55,30,6,5/31/2023,0.13,4,332,3,
14989805,Home in Albany · ★4.97 · 2 bedrooms · 5 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,223,1,65,5/12/2023,0.8,9,348,12,
15580397,Home in Albany · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,89705052,Share,,NINTH WARD,42.65651,-73.77887,Private room,60,2,34,6/20/2023,0.46,4,86,7,
16531782,Rental unit in Albany · ★4.77 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,70,1,261,6/19/2023,6.92,2,333,91,
17238066,Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,FIFTH WARD,42.67614,-73.78169,Private room,44,3,129,5/29/2023,1.71,3,302,9,
17514620,Home in Albany · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,45,10,49,6/28/2023,0.64,4,286,7,
18341426,Home in Albany · ★4.98 · 2 bedrooms · 3 beds · 1 bath,4259750,Peter,,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,555,1,57,6/26/2022,0.88,9,365,0,
19081215,Boutique hotel in Albany · ★4.86 · 1 bedroom · 1 bed · 1 private bath,19648678,Terra,,NINTH WARD,42.65644,-73.77509,Private room,150,1,21,5/28/2023,0.31,11,149,7,
19527043,Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,15223767,Ed,,NINTH WARD,42.65312,-73.78161,Private room,70,1,64,5/21/2023,1.12,3,220,24,
19571496,Home in Albany · ★4.56 · 2 bedrooms · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.6585,-73.78414,Private room,50,10,25,5/28/2023,0.41,4,212,7,
19663012,Townhouse in Albany · ★4.71 · 2 bedrooms · 2 beds · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.6436,-73.75887,Private room,169,1,21,8/28/2021,0.29,7,178,0,
20138691,Home in Albany · ★4.95 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,19,7/3/2020,0.29,6,183,0,
20212108,Townhouse in Albany · ★4.60 · 1 bedroom · 7 beds · 1 private bath,39656001,Urbangem,,SECOND WARD,42.64355,-73.75712,Private room,229,1,5,1/28/2023,0.11,7,180,3,
20518708,Home in Albany · ★4.92 · 2 bedrooms · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,12,3/4/2020,0.24,6,183,0,
20519453,Home in Albany · ★4.88 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,16,4/24/2020,0.25,6,183,0,
20519722,Home in Albany · ★5.0 · 2 bedrooms · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,8,8/12/2020,0.13,6,183,0,
20519807,Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 shared baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,32,7/8/2020,0.49,6,1,0,
20519885,Home in Albany · ★4.93 · 5 bedrooms · 6 beds · 2 baths,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,81,6/25/2023,1.18,6,332,24,
20620135,Home in Albany · ★4.93 · 2 bedrooms · 4 beds · 1 bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,196,1,55,12/31/2022,0.79,9,2,1,
20633175,Rental unit in Albany · ★4.91 · 1 bedroom · 2 beds · 1 bath,65414985,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,126,2,130,5/28/2023,2.02,2,252,22,
20671966,Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,98744672,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,75,2,39,6/1/2023,0.55,8,296,1,
21052414,Home in Albany · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,135717458,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,10,36,6/5/2023,0.59,3,306,4,
21392315,Rental unit in Albany · ★4.86 · 1 bedroom · 1 bed · 1 bath,98744672,Bela,,NINTH WARD,42.65372,-73.78244,Entire home/apt,70,3,100,5/20/2023,1.46,8,318,8,
21449583,Home in Albany · ★5.0 · 4 bedrooms · 5 beds · 1.5 baths,4259750,Peter,,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,570,4,8,7/27/2018,0.12,9,364,0,
21752534,Rental unit in Albany · ★4.72 · 1 bedroom · 2 beds · 1 bath,152762198,Allen,,TENTH WARD,42.66045,-73.77833,Entire home/apt,76,3,148,4/14/2023,2.17,7,342,14,
21769213,Home in Albany · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,135717458,Chad,,ELEVENTH WARD,42.66572,-73.77834,Private room,35,10,20,6/1/2023,0.3,3,313,4,
21769439,Home in Albany · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,135717458,Chad,,ELEVENTH WARD,42.66703,-73.77842,Private room,35,10,20,4/29/2023,0.3,3,243,4,
22398196,Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 private bath,98744672,Bela,,NINTH WARD,42.65501,-73.78122,Private room,55,2,94,6/5/2023,1.41,8,330,21,
22431640,Rental unit in Albany · ★4.82 · 1 bedroom · 2 beds · 1 bath,108848737,Jake,,SEVENTH WARD,42.64717,-73.77135,Entire home/apt,143,1,416,6/18/2023,6.6,2,87,55,
24120690,Guest suite in Albany · ★4.94 · 1 bedroom · 1 bed · 1 private bath,156446839,Domini,,FOURTEENTH WARD,42.65975,-73.81196,Private room,71,2,105,6/11/2023,1.65,1,326,16,
24606880,Guest suite in Albany · ★4.92 · 1 bedroom · 1 bed · 1 private bath,98744672,Bela,,NINTH WARD,42.65431,-73.78178,Private room,55,2,38,4/17/2023,0.66,8,337,6,
24655782,Rental unit in Albany · ★4.89 · 1 bedroom · 2 beds · 1 bath,108848737,Jake,,SEVENTH WARD,42.6477,-73.7714,Entire home/apt,103,1,326,5/20/2023,5.18,2,129,43,
25549565,Guest suite in Albany · ★4.91 · 1 bedroom · 1 bed · 1 bath,9666970,Janet,,SIXTH WARD,42.65345,-73.7645,Entire home/apt,102,1,688,6/23/2023,11.12,1,141,129,
25976514,Home in Albany · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,31757246,Leiba,,SIXTH WARD,42.65333,-73.77293,Private room,80,3,11,9/25/2022,0.18,1,353,2,
26139592,Rental unit in Albany · ★4.82 · 1 bedroom · 1 bed · 1 bath,6833937,Farah,,SIXTH WARD,42.65403,-73.76325,Entire home/apt,120,2,97,12/20/2022,1.62,1,348,7,
