id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1489424,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 private bath,5294164,Efrat,,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,228,8/25/2023,1.88,1,256,51,
2992450,Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,11,8/17/2022,0.1,1,275,0,
3820211,Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,115,2,294,8/14/2023,2.67,10,303,6,
5651579,Rental unit in Albany · ★4.50 · Studio · 1 bed · 1 bath,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,68,3,327,8/29/2023,3.23,3,131,26,
6623339,Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,140,1,306,4/2/2023,3.05,10,305,8,
7062955,Rental unit in Albany · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,37035085,George,,SIXTH WARD,42.65901,-73.76647,Entire home/apt,69,30,7,6/16/2023,0.08,4,365,1,
7563949,Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.64484,-73.75851,Private room,190,1,42,2/19/2023,0.48,6,365,2,
8035768,Home in Albany · ★4.75 · 3 bedrooms · 3 beds · 3.5 baths,42430824,John M,,TENTH WARD,42.66088,-73.78147,Entire home/apt,459,3,54,2/20/2023,0.55,2,365,2,
8035784,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,7/25/2020,0.19,2,179,0,
8539096,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,19648678,Terra,,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,66,8/16/2022,0.7,10,364,0,
8915877,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,46312980,Robert,,SECOND WARD,42.64603,-73.75986,Entire home/apt,85,3,224,10/17/2022,2.34,1,244,2,
9005989,Rental unit in Albany · ★4.80 · 1 bedroom · 2 beds · 1 bath,17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,88,1,564,8/14/2023,6.55,1,350,48,
9501054,Rental unit in Albany · ★4.52 · 1 bedroom · 2 beds · 1 private bath,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,61,2,352,8/28/2023,3.81,3,158,42,
10768745,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,576,8/20/2023,6.25,2,343,75,
11253948,Home in Albany · ★4.94 · 3 bedrooms · 6 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,250,1,127,7/4/2023,1.44,9,343,15,
11639446,Home in Albany · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,ELEVENTH WARD,42.67583,-73.78297,Private room,47,2,223,8/13/2023,2.52,3,353,12,
